x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,9.711197860414019084e-03,-1.054669845992048166e-03
2.150677684622799291e-01,1.958417653669586400e+01,9.818238080892631101e-03,-1.011673560728251200e-03
3.125627968666293555e-01,1.864716906470728475e+01,9.857564210786651238e-03,-9.075414148738378565e-04
3.171253586207214425e-01,1.911682022212894339e+01,9.865724881087948456e-03,-9.606752794670894713e-04
3.197227889367013631e-01,1.815502063943323918e+01,9.856581185120418670e-03,-8.522863754159399306e-04
5.000000000000000000e-01,2.000000000000000000e+01,9.976494573885340972e-03,-1.063747746757879578e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.008880593770601977e-02,-1.009055624083451605e-03
3.324799169943588595e-01,1.765661494120666219e+01,9.859756276657414761e-03,-7.967846257017416464e-04
7.477099128314499410e-01,1.841673112457957373e+01,1.008732429731159716e-02,-8.891879941827244768e-04
7.288281609585993692e-01,1.893264419257299380e+01,1.008270258782244938e-02,-9.470115815315371076e-04
6.126140549771008637e-03,1.393883490349006493e+01,9.686342334343201257e-03,-3.937074542283536369e-04
3.462454528261709186e-01,1.715835398417801372e+01,9.864595138208472752e-03,-7.417589290649336236e-04
7.610859817068700295e-01,1.792254221555610627e+01,1.009029490607956173e-02,-8.339322019983099084e-04
3.588043807178813438e-01,1.666021960889865738e+01,9.869773889980929318e-03,-6.872300176130478932e-04
1.085692806363770302e+00,1.917436296054636102e+01,1.027550188683399972e-02,-9.800123943178818894e-04
1.229153078410270439e+00,1.873248263188046536e+01,1.034682718190050275e-02,-9.323737954413731550e-04
9.999999999999893419e-01,2.000000000000000000e+01,1.024142824474804855e-02,-1.071839386254258390e-03
2.360066974684826846e-02,1.344230011818341985e+01,9.697253086158244897e-03,-3.432596285984054795e-04
3.689567595568306047e-01,1.616831246226082541e+01,9.874506363459678929e-03,-6.338767493702531473e-04
3.852315172461189263e-01,1.567831972280428943e+01,9.883149492005022588e-03,-5.813687064271320362e-04
4.019493949504706620e-01,1.518776455835368644e+01,9.892529196702422312e-03,-5.293246420350871664e-04
4.152197164099789006e-01,1.469291716997159014e+01,9.900451991266540422e-03,-4.772790920606581372e-04
4.298882323578894216e-01,1.419623623162349091e+01,9.909365519511636675e-03,-4.255398654190133676e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.009147477184088593e-02,-7.782704730747683382e-04
1.200283162850748653e+00,1.819110516899724672e+01,1.032646101110392366e-02,-8.709977293157468827e-04
1.250000000000021316e+00,1.956698729810777593e+01,1.036767441026849833e-02,-1.026811281463264241e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.049196755453309093e-02,-9.841346608067658673e-04
3.021816274658917223e-02,1.293697799842149010e+01,9.702423710515146668e-03,-2.921976064686248936e-04
4.441026490960204853e-01,1.370340103264483567e+01,9.918162018062670615e-03,-3.746281947135510063e-04
7.834061262387201907e-01,1.692026848054210220e+01,1.009681822683351250e-02,-7.228493339367779869e-04
1.197082458876931099e+00,1.769236410254564618e+01,1.032113093860725049e-02,-8.150630725719884432e-04
7.952304015982782914e-01,1.642383889671659247e+01,1.010175998875813101e-02,-6.684980388281621571e-04
1.719710019260990208e+00,1.882683477713113973e+01,1.060852790220083962e-02,-9.499149755907589478e-04
1.499999999999989342e+00,2.000000000000000000e+01,1.050590378811344476e-02,-1.079129522550528958e-03
4.556153152296005260e-02,1.243633101129515950e+01,9.712024101060380207e-03,-2.420291199627176530e-04
6.505650485206970757e-02,1.193874412405663676e+01,9.723585818443626974e-03,-1.924469378025261805e-04
8.351299073286000407e-02,1.144186637449435651e+01,9.734336469040344442e-03,-1.431103545037031163e-04
4.524969318071505597e-01,1.319515967823735636e+01,9.923962751110196323e-03,-3.224615217428069593e-04
8.055556596365285316e-01,1.593434693313355233e+01,1.010660395736107282e-02,-6.153553208981637742e-04
8.259092084109092013e-01,1.544607123446077601e+01,1.011732415767752427e-02,-5.629601294529291066e-04
8.399171062219110695e-01,1.495112084517530882e+01,1.012509861165428009e-02,-5.102187990557038736e-04
8.528497455404107086e-01,1.445376168039130249e+01,1.013261904748090879e-02,-4.576597098244791057e-04
8.686876196325883370e-01,1.395454822402442296e+01,1.014188958152820001e-02,-4.053644941645600922e-04
